category,cpi_bucket
dresses,Clothing and Footwear
grocery-staples,"Food, Tobacco, Beverages"
beverages,"Food, Tobacco, Beverages"
branded-foods,"Food, Tobacco, Beverages"
household,Misc
imported-gourmet,"Food, Tobacco, Beverages"
bread-dairy-eggs,"Food, Tobacco, Beverages"
personal-care,Misc
tablets,Misc
shoes,Clothing and Footwear
fruits-vegetables,"Food, Tobacco, Beverages"
meat,"Food, Tobacco, Beverages"
laptops,Misc
TVs,Misc
mobiles,Misc
tshirts,Clothing and Footwear
Dslrs,Misc
Washing_machines,Misc
Tablets,Misc
Switches,Misc
Mobile_chargers,Misc
Mouse,Misc
Laptops,Misc
Landline_phones,Misc
Popup_toasters,Misc
Mobile_bluetooth_headsets,Misc
Binoculars_telescopes,Misc
Video_players,Misc
Printers_multi,Misc
Hand_blenders,Misc
Projectors,Misc
Microwave_ovens,Misc
Webcams,Misc
Tv_tuners,Misc
Routers,Misc
Laptop_batteries,Misc
Mobile_memory,Misc
Pen_drives,Misc
Otg,Misc
Monitors,Misc
Electric_cookers,Misc
Refrigerators,Misc
Irons,Misc
Air_conditioners,Misc
Induction_cooktops,Misc
External_hard_disks,Misc
Speakers,Misc
Keyboards,Misc
Mixer_grinder_juicer,Misc
Led_tv,Misc
Sandwich_makers,Misc
Mobile_batteries,Misc
Home_theaters,Misc
Processors,Misc
Lcd_tv,Misc
Coffee_makers,Misc
Gaming_consoles,Misc
Plasma_tv,Misc
Mp3_players,Misc
Point_shoots,Misc
Water_purifiers,Misc
Digital_photo_frames,Misc
Music_systems,Misc
Scanners,Misc
Food_processors,Misc
Ipods,Misc
Camcorders,Misc
Electric_kettles,Misc
Mobile_headphone_headsets,Misc
Printers_single,Misc
Desktops,Misc
A,Misc
Data_cards,Misc
Graphic_cards,Misc
Mp4_players,Misc
Vacuum_cleaners,Misc
H,Misc
P,Misc
Appliances/Water Purifiers,Misc
Housekeeping/Organisers/Clothes Organisers,Misc
Pets and Gardening/Dog Supplies/Food & Treats,Misc
Appliances/Fans/Table,Misc
Appliances/Geysers,Misc
Appliances/Exhaust Fans,Misc
Appliances/Hand Blenders,Misc
Appliances/Juicer  Mixer & Grinders,Misc
Housekeeping/Aromatic Decor/Air fresheners,Misc
Appliances/Heat Convectors,Misc
Appliances/Chimney & Hoods,Misc
Appliances/Gas Stoves,Misc
Housekeeping/Laundry/Laundry Baskets,Misc
Housekeeping/Aromatic Decor/Potpourri,Misc
Housekeeping/Aromatic Decor/Incense Holders & Sticks,Misc
Appliances/Induction Cooktops,Misc
Appliances/Food Processors,Misc
Pets and Gardening/Bird Supplies,Misc
Housekeeping/Organisers/Boxes,Misc
Pets and Gardening/Cat Supplies/Food & Treats,Misc
Appliances/Microwave & OTG,Misc
Housekeeping/Aromatic Decor/Scented Candles,Misc
Appliances/Deals,Misc
Appliances/Refrigerators,Misc
Rams,Misc
F,Misc
K,Misc
Furniture/Executive Chairs,Misc
Furniture/Dining/Dining Sets,Misc
Furniture/Console Tables/Contemporary,Misc
Furniture/Chest of Drawers/Contemporary,Misc
Furniture/Book Shelves/Contemporary,Misc
Furniture/Beds/King Sized,Misc
Furniture/Chairs/Rocking Chairs,Misc
Furniture/Bed Side Tables/Contemporary,Misc
Furniture/Dining/Dining Tables,Misc
Furniture/Trunks & Boxes,Misc
Furniture/Stools/Industrial Modern,Misc
Furniture/Shoe Racks/Solid Wood,Misc
Furniture/Rocking Chairs,Misc
Furniture/Book Cases/Colonial,Misc
Furniture/Dining Sets/Four Seater,Misc
Furniture/Kids Furniture/Tables,Misc
Furniture/Tables/Dressing Tables,Misc
Furniture/Ergonomic Chairs,Misc
Kitchen/Kitchen Cabinets,Misc
Furniture/Bed Side Tables/Modern,Misc
Furniture/Dining Chairs/Contemporary,Misc
Furniture/Collections/Aviator,Misc
Furniture/Home Office/Computer Tables,Misc
Furniture/Chairs/Stacking & Folding Chairs,Misc
Furniture/Study & Laptop Tables/Modern,Misc
Furniture/Dressing Tables/Colonial,Misc
Furniture/Sets Of Tables/Contemporary,Misc
Furniture/End Tables/Contemporary,Misc
Furniture/Dressing Tables/Eclectic,Misc
Furniture/Cabinets/Sideboards,Misc
Furniture/Moulded Furniture/Stacking Chairs,Misc
Furniture/Tables/Bedside Tables,Misc
Furniture/Beds/Single,Misc
Furniture/Sets Of Tables,Misc
Furniture/Dining Tables/Contemporary,Misc
Furniture/Book Shelves,Misc
Furniture/Tables/Study & Laptop Tables,Misc
Furniture/Bed Side Tables/Indian Ethnic,Misc
Furniture/Collections/Rangilo Rajasthan,Misc
Mobile_phones,Misc
B,Misc
Home Decor/Spiritual/Gold Coins,Misc
Bed & Bath/Sanitary Ware/Showers,Misc
Furnishings & Lamps/LED & Rechargeable Lights,Misc
Home Decor/Wall Shelves,Misc
Furniture/Outdoor and Garden Furniture,Misc
Pets and Gardening/Dog Supplies/Grooming,Misc
Pets and Gardening/Dog Supplies/Beds & Furniture,Misc
Furnishings & Lamps/Ceiling Lights/Recessed Lights,Misc
Home Decor/Hookahs & Accessories,Misc
Furniture/Stools,Misc
Home Decor/Curios/Trinket & Jewellery Boxes,Misc
Furniture/Large Coffee Tables/Colonial,Misc
Housekeeping/Step Ladders & Stools,Misc
Furniture/Coffee Tables/Eclectic,Misc
Furnishings & Lamps/Table Lamps,Misc
Bed & Bath/Bathroom Tumblers,Misc
Housekeeping/Umbrellas,Misc
Pets and Gardening/Cat Supplies/Grooming,Misc
Home Decor/Kids Decor/Photo Frames,Misc
Furniture/Large Coffee Tables/Contemporary,Misc
Furnishings & Lamps/Curtains/Shower Curtains,Misc
Bed & Bath/Bed Covers,Misc
Housekeeping/Organisers/Other Organisers,Misc
Pets and Gardening/Cat Supplies/Training & Behavior,Misc
Housekeeping/Cleaning Products/Brushes & Wipes,Misc
Housekeeping/Handles & Knobs,Misc
Bed & Bath/Clothes Hooks,Misc
Bed & Bath/Towel Holders,Misc
Home Decor/Curios/Key Holders,Misc
Bed & Bath/Bed Sheet Combo Offers,Misc
Bed & Bath/Bathroom Cabinets,Misc
Furniture/Cabinets & Sideboards/Contemporary,Misc
Bed & Bath/Mattresses,Misc
Furniture/Book Cases,Misc
Furniture/Shoe Racks/Engineered Wood,Misc
Bed & Bath/Toilet Paper Holders,Misc
Furniture/Coffee Tables/Colonial,Misc
Furniture/Folding Chairs,Misc
Furnishings & Lamps/Curtains/Curtain Brackets & Rods,Misc
Bed & Bath/Soap Dishes,Misc
Furniture/Tables/End Tables,Misc
Bed & Bath/Blankets & Quilts,Misc
Furnishings & Lamps/Curtains/Door Curtains,Misc
Furniture/Book Shelves/Colonial,Misc
Bed & Bath/Bedding Sets,Misc
Home Decor/Home Fragrances/Incense,Misc
Bed & Bath/Pillow Covers,Misc
Furniture/Coffee Tables/Indian Ethnic,Misc
Furniture/Arm Chairs/Colonial,Misc
Home Decor/Jharokhas,Misc
Furniture/Collections/Rio,Misc
Home Decor/Kids Decor/Kids Cushions,Misc
Furniture/End Tables/Eclectic,Misc
Housekeeping/Mosquito Nets,Misc
Pets and Gardening/Dog Supplies/Health & Wellness,Misc
Furnishings & Lamps/Wall Lights/Bathroom Lights,Misc
Bed & Bath/Sanitary Ware/Pipes & Hoses,Misc
Furniture/Wine Racks,Misc
Bed & Bath/Yoga Mats,Misc
Pets and Gardening/Watering Equipment,Misc
Pets and Gardening/Cat Supplies/Health & Wellness,Misc
Furniture/Arm Chairs/Contemporary,Misc
Housekeeping/Aromatic Decor/Diffusers,Misc
Furniture/Stools/Colonial,Misc
Furniture/New Arrivals/Pouffe & Stools,Misc
Furniture/Shoe Racks,Misc
Furnishings & Lamps/Wall Papers,Misc
Bed & Bath/Bathroom sets,Misc
Appliances/Fans/Ceiling,Misc
Appliances/Coffee Makers,Misc
Bed & Bath/Pillow Inserts,Misc
Housekeeping/Insect & Rodent Repellents,Misc
Bed & Bath/Duvet Covers,Misc
Appliances/Air Coolers,Misc
Bed & Bath/Diwan Sets,Misc
Bed & Bath/Sanitary Ware/Stop Cocks and Angles,Misc
Bed & Bath/Bathroom Scales,Misc
Bed & Bath/Cotton Swab Holders,Misc
Bed & Bath/Bath Robes,Misc
Bed & Bath/Sanitary Ware/Cisterns,Misc
Home Decor/Spiritual/Silver Coins,Misc
Furnishings & Lamps/Curtains/Window Curtains,Misc
Appliances/Electric Irons,Misc
Furnishings & Lamps/Light Bulbs,Misc
Housekeeping/Utility Weighing Scales,Misc
Furnishings & Lamps/Wall Lights/Wall Mounted,Misc
Furniture/Sets Of Tables/Eclectic,Misc
Housekeeping/Tools & Hardware/Other Tools & Hardware,Misc
Bed & Bath/Bed Sheets,Misc
Furnishings & Lamps/CFLs,Misc
Appliances/Roti Maker,Misc
Home Decor/CD Racks,Misc
Bed & Bath/Bathroom Shelves,Misc
Furnishings & Lamps/Floor Lamps,Misc
Home Decor/Spiritual/Idols,Misc
Home Decor/Spiritual/Bells & Chimes,Misc
Housekeeping/Door Bolt Locks,Misc
Furniture/Chest of Drawers/Colonial,Misc
Home Decor/Curios/Showpieces,Misc
Home Decor/Kids Decor/Kids Wall Stickers,Misc
Pets and Gardening/Cat Supplies/Toys,Misc
Home Decor/Kids Decor/Posters,Misc
Home Decor/Nautical Decor,Misc
Appliances/Washing Machines,Misc
Furnishings & Lamps/Blinds & Shades,Misc
Home Decor/Celebrations/Festive Lights,Misc
Home Decor/Screens & Dividers,Misc
Furnishings & Lamps/Dhurries & Runners,Misc
Furniture/Kids Furniture/Kids Storage,Misc
Housekeeping/Home Safes,Misc
Furniture/Bar Furniture/Wine Racks,Misc
Home Decor/Corner Shelves,Misc
Furniture/Coffee Tables/Contemporary,Misc
Furnishings & Lamps/Tube Lights,Misc
Housekeeping/Tools & Hardware/Spanners,Misc
Housekeeping/Tools & Hardware/Wrenches,Misc
Housekeeping/Tools & Hardware/Pliers,Misc
Housekeeping/Tools & Hardware/Hammers,Misc
Housekeeping/Tools & Hardware/Screwdrivers,Misc
